ParticipantID,Trial,Response
P53,Trial5,Correct
P53,Trial6,Correct
P54,Trial1,Correct
P54,Trial2,Fooled
P54,Trial3,Correct
P54,Trial4,Correct
P54,Trial5,Fooled
P54,Trial6,Fooled
P55,Trial1,Correct
P55,Trial2,Fooled
P55,Trial3,Correct
P55,Trial4,Correct
P55,Trial5,Fooled
P55,Trial6,Correct
P56,Trial1,Correct
P56,Trial2,Fooled
P56,Trial3,Correct
P56,Trial4,Fooled
P56,Trial5,Fooled
P56,Trial6,Correct
P57,Trial1,Correct
P57,Trial2,Fooled
P57,Trial3,Correct
P57,Trial4,Fooled
P57,Trial5,Correct
P57,Trial6,Correct
P58,Trial1,Correct
P58,Trial2,Fooled
P58,Trial3,Correct
P58,Trial4,Correct
P58,Trial5,Fooled
P58,Trial6,Correct
P59,Trial1,Correct
P59,Trial2,Fooled
P59,Trial3,Fooled
P59,Trial4,Correct
P59,Trial5,Fooled
P59,Trial6,Correct
P60,Trial1,Correct
P60,Trial2,Fooled
P60,Trial3,Correct
P60,Trial4,Fooled
P60,Trial5,Fooled
P60,Trial6,Correct
P61,Trial1,Correct
P61,Trial2,Fooled
P61,Trial3,Correct
P61,Trial4,Correct
P61,Trial5,Fooled
P61,Trial6,Correct
P62,Trial1,Correct
P62,Trial2,Fooled
P62,Trial3,Correct
P62,Trial4,Fooled
P62,Trial5,Correct
P62,Trial6,Correct
P63,Trial1,Correct
P63,Trial2,Fooled
P63,Trial3,Correct
P63,Trial4,Correct
P63,Trial5,Fooled
P63,Trial6,Correct
P64,Trial1,Correct
P64,Trial2,Fooled
P64,Trial3,Correct
P64,Trial4,Correct
P64,Trial5,Correct
P64,Trial6,Correct
P65,Trial1,Correct
P65,Trial2,Fooled
P65,Trial3,Correct
P65,Trial4,Correct
P65,Trial5,Fooled
P65,Trial6,Correct
P66,Trial1,Correct
P66,Trial2,Fooled
P66,Trial3,Correct
P66,Trial4,Correct
P66,Trial5,Correct
P66,Trial6,Correct
P67,Trial1,Correct
P67,Trial2,Fooled
P67,Trial3,Correct
P67,Trial4,Correct
P67,Trial5,Fooled
P67,Trial6,Correct
P68,Trial1,Correct
P68,Trial2,Fooled
P68,Trial3,Correct
P68,Trial4,Correct
P68,Trial5,Fooled
P68,Trial6,Fooled
P69,Trial1,Correct
P69,Trial2,Correct
P69,Trial3,Correct
P69,Trial4,Fooled
P69,Trial5,Fooled
P69,Trial6,Correct
P70,Trial1,Correct
P70,Trial2,Fooled
P70,Trial3,Correct
P70,Trial4,Correct
P70,Trial5,Correct
P70,Trial6,Correct
P71,Trial1,Correct
P71,Trial2,Fooled
P71,Trial3,Correct
P71,Trial4,Fooled
P71,Trial5,Fooled
P71,Trial6,Correct
