ParticipantID,Trial,AOI,ImageType,Duration_ms
P11,Trial6,Seed,AI,1592
P11,Trial6,Seed,Real,1583
P11,Trial6,Total,AI,3033
P11,Trial6,Total,Real,2225
P12,Trial1,Pupil,AI,608
P12,Trial1,Pupil,Real,467
P12,Trial1,Skin,AI,0
P12,Trial1,Skin,Real,0
P12,Trial1,Total,AI,892
P12,Trial1,Total,Real,971
P12,Trial2,Hair,AI,633
P12,Trial2,Hair,Real,725
P12,Trial2,Outfit,AI,0
P12,Trial2,Outfit,Real,0
P12,Trial2,Total,AI,633
P12,Trial2,Total,Real,883
P12,Trial3,Mountain,AI,96
P12,Trial3,Mountain,Real,617
P12,Trial3,River,AI,0
P12,Trial3,River,Real,0
P12,Trial3,Total,AI,604
P12,Trial3,Total,Real,617
P12,Trial4,Topping1,AI,946
P12,Trial4,Topping1,Real,608
P12,Trial4,Topping2,AI,742
P12,Trial4,Topping2,Real,767
P12,Trial4,Total,AI,1479
P12,Trial4,Total,Real,1183
P12,Trial5,Cloud,AI,1329
P12,Trial5,Cloud,Real,608
P12,Trial5,Total,AI,2254
P12,Trial5,Total,Real,1658
P12,Trial5,Water,AI,1308
P12,Trial5,Water,Real,1050
P12,Trial6,Leaves,AI,0
P12,Trial6,Leaves,Real,0
P12,Trial6,Seed,AI,2242
P12,Trial6,Seed,Real,1113
P12,Trial6,Total,AI,2533
P12,Trial6,Total,Real,1113
P13,Trial1,Pupil,AI,763
P13,Trial1,Pupil,Real,0
P13,Trial1,Skin,AI,308
P13,Trial1,Skin,Real,0
P13,Trial1,Total,AI,3513
P13,Trial1,Total,Real,429
P13,Trial2,Hair,AI,2100
P13,Trial2,Hair,Real,833
P13,Trial2,Outfit,AI,550
P13,Trial2,Outfit,Real,1142
P13,Trial2,Total,AI,3383
P13,Trial2,Total,Real,4992
P13,Trial3,Mountain,AI,0
P13,Trial3,Mountain,Real,250
P13,Trial3,River,AI,542
P13,Trial3,River,Real,0
P13,Trial3,Total,AI,988
P13,Trial3,Total,Real,1138
P13,Trial4,Topping1,AI,2067
P13,Trial4,Topping1,Real,1583
P13,Trial4,Topping2,AI,2433
P13,Trial4,Topping2,Real,4458
P13,Trial4,Total,AI,5508
P13,Trial4,Total,Real,7088
P13,Trial5,Cloud,AI,3008
P13,Trial5,Cloud,Real,1792
P13,Trial5,Total,AI,5504
P13,Trial5,Total,Real,3979
P13,Trial5,Water,AI,2496
P13,Trial5,Water,Real,2188
P13,Trial6,Leaves,AI,2338
P13,Trial6,Leaves,Real,4092
P13,Trial6,Seed,AI,3538
P13,Trial6,Seed,Real,3583
P13,Trial6,Total,AI,6625
P13,Trial6,Total,Real,8217
P14,Trial1,Pupil,AI,483
P14,Trial1,Pupil,Real,150
P14,Trial1,Skin,AI,0
P14,Trial1,Skin,Real,0
P14,Trial1,Total,AI,2708
P14,Trial1,Total,Real,1000
P14,Trial2,Hair,AI,1017
P14,Trial2,Hair,Real,688
P14,Trial2,Outfit,AI,0
P14,Trial2,Outfit,Real,0
P14,Trial2,Total,AI,1017
P14,Trial2,Total,Real,1158
P14,Trial3,Mountain,AI,225
P14,Trial3,Mountain,Real,963
P14,Trial3,River,AI,775
P14,Trial3,River,Real,333
P14,Trial3,Total,AI,2517
P14,Trial3,Total,Real,1904
P14,Trial4,Topping1,AI,3379
P14,Trial4,Topping1,Real,3292
P14,Trial4,Topping2,AI,783
P14,Trial4,Topping2,Real,1617
P14,Trial4,Total,AI,5804
P14,Trial4,Total,Real,5017
P14,Trial5,Cloud,AI,608
P14,Trial5,Cloud,Real,750
P14,Trial5,Total,AI,1108
P14,Trial5,Total,Real,1575
P14,Trial5,Water,AI,417
P14,Trial5,Water,Real,825
P14,Trial6,Leaves,AI,5142
P14,Trial6,Leaves,Real,3133
P14,Trial6,Seed,AI,2533
P14,Trial6,Seed,Real,1758
P14,Trial6,Total,AI,8650
P14,Trial6,Total,Real,5833
P15,Trial1,Pupil,AI,1100
P15,Trial1,Pupil,Real,263
P15,Trial1,Skin,AI,100
P15,Trial1,Skin,Real,0
P15,Trial1,Total,AI,1708
P15,Trial1,Total,Real,1050
P15,Trial2,Hair,AI,2425
P15,Trial2,Hair,Real,2133
P15,Trial2,Outfit,AI,583
P15,Trial2,Outfit,Real,208
P15,Trial2,Total,AI,3600
P15,Trial2,Total,Real,3208
P15,Trial3,Mountain,AI,550
P15,Trial3,Mountain,Real,646
P15,Trial3,River,AI,1208
P15,Trial3,River,Real,267
P15,Trial3,Total,AI,3029
P15,Trial3,Total,Real,1613
P15,Trial4,Topping1,AI,1642
